episod,total_reward
1,-17.58987204757058
2,-26.96244723412469
3,-16.19019963883904
4,-41.24190271620752
5,-19.488734838521985
6,-32.207753078593775
7,-9.591723139439544
8,-38.60617679649743
9,-91.22530637395106
10,-21.98156517126884
11,-16.39397772452089
12,-138.762699401754
13,-60.534674178323755
14,-3.9049772064515125
15,-4.896210283654265
16,-4.322893619622878
17,-13.068609712742129
18,-29.858802065962173
19,-14.463969325537139
20,-2418.9342141596917
21,-2308.237088009227
22,-2536.2495881353225
23,-2574.8148995904367
24,-2333.1464322104875
25,-2462.3545802454214
26,-2304.149595047738
27,-2513.6496858756514
28,-2534.4314508822195
29,-2586.028980288391
30,-2338.9460213421075
31,-2283.602157578458
32,-2145.916377082437
33,-2271.8685919472096
34,-2605.9104290990394
35,-2593.2880590464265
36,-2472.7608877118664
37,-2491.4738651993957
38,-2467.9123176823737
39,-2287.3342672181443
40,-2185.4860346579812
41,-2168.5644166958286
42,-2558.8844270810337
43,-2333.4765946164625
44,-2513.366776160682
45,-2686.5354682788025
46,-2346.732078488537
47,-15.363578522032952
48,-11.363844799286024
49,-7.448256936208081
50,-12.515913026164124
51,-13.44678852558
52,-11.854749617491077
53,-11.08419377368171
54,-6.812466794715757
55,-16.67847465397636
56,-11.582250733730229
57,-12.899821028885427
58,-12.610227136234247
59,-12.814078724029832
60,-16.395146851881915
61,-19.553548681372956
62,-3.3872797513697552
63,-9.3189822434266
64,-7.919194609469255
65,-12.120941391287001
66,-7.962937040023618
67,-29.27561863438045
68,-6.673264767483136
69,-48.31345821218404
70,-12.650941749488613
71,-19.95118901400628
72,-8.103177178678488
73,-15.861648285506083
74,-7.9655204894691085
75,-24.74928854656285
76,-22.782694862852484
77,-16.0829011979759
78,-14.251902767440745
79,-20.17731986366139
80,-4.45002082618221
81,-11.677973367827516
82,-11.75797664474055
83,-4.844150709001443
84,-16.601463280940926
85,-4.333698309576965
86,-6.557895200946576
87,-10.60007484455733
88,-2.5804797396780152
89,-14.90055798051943
90,-19.43464029396104
91,-4.403779908911809
92,-9.425284975582795
93,-9.51470467849807
94,-13.458889894221373
95,-6.369865934768539
96,-18.547173673555413
97,-5.700626875751141
98,-8.275276550694656
99,-9.179637803737798
100,-10.013735537106538
